type	latitude	longitude	altitude (m)	eos	name	desc
T	22.257855400	114.197652500	283.3			
T	22.257911300	114.197732800	286.5			
T	22.258055000	114.197964700	294.1			
T	22.258090000	114.198035200	296.4			
T	22.258112700	114.198129500	296.9			
T	22.258191500	114.198108400	293.1			
T	22.258217100	114.198107400	291.9			
T	22.258256900	114.198118000	290.2			
T	22.258310900	114.198102700	287.5			
T	22.258440000	114.198141000	286.3			
T	22.258823700	114.198529000	293.6			
T	22.258969200	114.198614900	298.3			
T	22.259022300	114.198609400	299.8			
T	22.259212000	114.198563100	303.6			
T	22.259422300	114.198548200	304.7			
T	22.259624600	114.198507000	305.0			
T	22.259831700	114.198411800	304.9			
T	22.259948600	114.198233000	306.1			
T	22.260043000	114.198001000	308.0			
T	22.260216400	114.197944800	310.3			
T	22.260288400	114.197934000	311.0			
T	22.260370400	114.197899600	310.7			
T	22.260442800	114.197905100	310.4			
T	22.260557600	114.197883900	310.0			
T	22.260626800	114.197814800	309.6			
T	22.260658200	114.197772700	309.6			
T	22.260681100	114.197744800	309.4			
T	22.260687400	114.197727300	309.3			
T	22.260693300	114.197713700	309.3			
T	22.260703900	114.197700300	309.2			
T	22.260709600	114.197693500	309.2			
T	22.260714900	114.197686500	309.1			
T	22.260725200	114.197681500	309.1			
T	22.260767300	114.197651100	309.0			
T	22.260781000	114.197644700	309.0			
T	22.260790100	114.197642300	309.0			
T	22.260806100	114.197636100	309.0			
T	22.260820700	114.197624500	309.0			
T	22.260844300	114.197611500	309.1			
T	22.260863900	114.197590100	309.3			
T	22.260886100	114.197569600	309.4			
T	22.260902300	114.197538400	309.5			
T	22.260923000	114.197500900	309.6			
T	22.261005000	114.197368400	310.8			
T	22.261079000	114.197295800	312.5			
T	22.261162800	114.197256200	314.8			
T	22.261225300	114.197234400	316.3			
T	22.261264700	114.197181400	317.4			
T	22.261317800	114.197103700	318.7			
T	22.261361700	114.197048600	319.5			
T	22.261396500	114.197041200	320.1			
T	22.261420600	114.197010700	320.5			
T	22.261445900	114.196985000	320.9			
T	22.261457100	114.196973000	321.0			
T	22.261468900	114.196967900	321.2			
T	22.261510800	114.196955500	321.8			
T	22.261608400	114.196975500	323.2			
T	22.261643700	114.196985200	323.8			
T	22.261684900	114.196999900	324.5			
T	22.261722400	114.197016300	325.1			
T	22.261742200	114.197024100	325.5			
T	22.261776100	114.197034800	326.0			
T	22.262009900	114.197220000	330.9			
T	22.262102400	114.197251100	332.0			
T	22.262202600	114.197275000	333.1			
T	22.262214800	114.197274800	333.3			
T	22.262235100	114.197270000	333.6			
T	22.262245300	114.197265400	333.7			
T	22.262284400	114.197241000	334.1			
T	22.262295100	114.197235200	334.2			
T	22.262308600	114.197229300	334.3			
T	22.262371300	114.197205200	334.4			
T	22.262393200	114.197195300	334.4			
T	22.262420500	114.197181200	334.4			
T	22.262444100	114.197166500	334.4			
T	22.262506000	114.197120100	334.3			
T	22.262561100	114.197126800	335.1			
T	22.262607300	114.197127600	335.7			
T	22.262619200	114.197126900	335.9			
T	22.262646600	114.197122600	336.2			
T	22.262656900	114.197121800	336.3			
T	22.262833800	114.197139800	339.9			
T	22.263340000	114.197304000	360.9			
T	22.263560000	114.197309000	369.7			
T	22.263596400	114.197302100	371.3			
T	22.263750000	114.197273000	376.9			
T	22.263953000	114.197142000	383.1			
T	22.264320000	114.197165000	384.8			
T	22.264923000	114.197593000	396.4			
T	22.265246000	114.197918000	401.0			
T	22.265638000	114.197998000	407.0			
T	22.265979000	114.198343000	419.1			
T	22.266267000	114.198412000	423.4			
T	22.266313000	114.198424000	423.6			
T	22.266448000	114.198799000	418.4			
T	22.266588000	114.198921000	414.9			
T	22.266539000	114.199017000	415.3			
T	22.266531000	114.199405000	399.9			
T	22.266437000	114.199579000	395.9			
T	22.266417000	114.199957000	386.3			
T	22.266346000	114.200164000	386.0			
T	22.266302900	114.200912300	365.5			
T	22.266301000	114.200946000	364.1			
T	22.266377000	114.201017000	359.9			
T	22.266510000	114.201363000	345.1			
T	22.266531000	114.201440000	342.9			
T	22.266472000	114.201505000	343.1			
T	22.266600000	114.201761000	333.1			
T	22.266714900	114.201945100	322.8			
T	22.266975000	114.202113000	311.1			
T	22.267017000	114.202241000	306.4			
T	22.267430000	114.202798000	297.1			
T	22.267357000	114.202978000	296.0			
T	22.267440500	114.203028700	295.7			
T	22.267494700	114.203088000	295.7			
T	22.267505900	114.203100300	295.5			
T	22.267518000	114.203164300	294.7			
T	22.267490000	114.203315000	293.9			
T	22.267508200	114.203763900	299.1			
T	22.267455800	114.204084600	301.6			
T	22.267471300	114.204282100	303.9			
T	22.267473500	114.204310800	304.1			
T	22.267584000	114.204570000	309.6			
T	22.267618000	114.204863000	312.5			
T	22.268021400	114.205403500	339.9			
T	22.268083500	114.205486800	344.0			
T	22.268194700	114.205572600	351.5			
T	22.268415100	114.205782000	364.8			
T	22.268552000	114.205912000	369.6			
T	22.268784000	114.206044000	376.8			
T	22.268916400	114.206487800	382.9			
T	22.269035000	114.206781000	389.2			
T	22.269211000	114.206893000	394.5			
T	22.269273900	114.207142300	394.6			
T	22.269205000	114.207286000	392.7			
T	22.269164800	114.207327900	392.0			
T	22.269102100	114.207389200	390.7			
T	22.269098900	114.207434400	390.7			
T	22.269103200	114.207503800	390.9			
T	22.269045000	114.207565000	390.5			
T	22.268954400	114.207619600	389.5			
T	22.268931900	114.207659600	389.5			
T	22.268942800	114.207728800	390.4			
T	22.268905100	114.207801400	390.5			
T	22.268839500	114.207938200	389.1			
T	22.268792700	114.208056500	387.5			
T	22.268794900	114.208208200	387.4			
T	22.268726700	114.208311400	383.9			
T	22.268704800	114.208442500	384.0			
T	22.268825500	114.208382500	388.8			
T	22.268866900	114.208383200	390.6			
T	22.268937800	114.208336600	393.5			
T	22.268971800	114.208294500	394.6			
T	22.268993600	114.208260900	395.2			
T	22.269083400	114.208262300	397.9			
