type	latitude	longitude	altitude (m)	eos	name	desc
T	22.260707300	113.978009600	353.4			
T	22.260731000	113.977980100	354.1			
T	22.260732400	113.977894700	352.7			
T	22.260749400	113.977834400	352.5			
T	22.260778900	113.977796800	353.4			
T	22.260827000	113.977768700	355.5			
T	22.261024800	113.977701000	368.1			
T	22.261081900	113.977667200	371.9			
T	22.261129900	113.977598000	375.1			
T	22.261159200	113.977515400	376.9			
T	22.261128500	113.977409200	376.5			
T	22.261028300	113.977280400	372.0			
T	22.260998700	113.977214500	372.0			
T	22.260999400	113.977117400	377.4			
T	22.260982000	113.977044300	380.5			
T	22.260960200	113.976955000	384.3			
T	22.260960400	113.976758500	401.3			
T	22.260801500	113.976681800	400.0			
T	22.260660600	113.976626400	392.3			
T	22.260536000	113.976599400	384.7			
T	22.260490000	113.976522800	387.3			
T	22.260463600	113.976461700	390.0			
T	22.260435500	113.976398100	392.6			
T	22.260427100	113.976348800	394.4			
T	22.260445800	113.976283200	398.2			
T	22.260466700	113.976224200	401.7			
T	22.260503100	113.976192800	404.8			
T	22.260561800	113.976149400	409.1			
T	22.260594800	113.976092500	412.7			
T	22.260553700	113.976002500	414.2			
T	22.260429200	113.975599500	424.0			
T	22.260379100	113.975455100	425.8			
T	22.260378800	113.975285000	429.9			
T	22.260412200	113.975205900	433.2			
T	22.260468900	113.975125700	437.7			
T	22.260541500	113.975063000	442.9			
T	22.260588700	113.974973200	447.8			
T	22.260632000	113.975024500	449.0			
T	22.260659800	113.975200200	448.0			
T	22.260702600	113.975223200	450.8			
T	22.260722200	113.975188700	452.6			
T	22.260776100	113.974905000	461.1			
T	22.260763300	113.974602300	471.1			
T	22.260815600	113.974412700	481.6			
T	22.260814200	113.974231900	486.6			
T	22.260841600	113.974102800	491.6			
T	22.260809700	113.973941100	492.4			
T	22.260856700	113.973788400	497.7			
T	22.260891300	113.973742300	500.0			
T	22.260954100	113.973688800	503.4			
T	22.261053700	113.973640500	507.8			
T	22.261107400	113.973515400	509.5			
T	22.261110400	113.973411600	509.3			
T	22.261142200	113.973312400	509.8			
T	22.261180300	113.972960700	515.5			
T	22.261222700	113.972792200	519.9			
T	22.261206900	113.972662200	519.5			
T	22.261243200	113.972573600	519.7			
T	22.261329900	113.972482800	520.8			
T	22.261434200	113.972296400	522.7			
T	22.261574600	113.972180500	526.8			
T	22.261644400	113.972082400	528.7			
T	22.261701700	113.972054200	531.1			
T	22.261808500	113.971960800	536.1			
T	22.261851400	113.971908500	538.0			
T	22.261895800	113.971864100	539.6			
T	22.261926500	113.971792300	540.0			
T	22.261872700	113.971712800	536.9			
T	22.261829200	113.971581000	536.0			
T	22.261726200	113.971563800	532.8			
T	22.261667400	113.971534400	531.4			
T	22.261614800	113.971462800	531.7			
T	22.261570600	113.971344500	534.3			
T	22.261475700	113.971241600	536.3			
T	22.261419800	113.971115400	539.1			
T	22.261309100	113.971038700	536.4			
