type	latitude	longitude	altitude (m)	eos	name	desc
T	22.362332500	114.371758100	55.2			
T	22.362918600	114.372034100	51.8			
T	22.363853400	114.372474800	53.1			
T	22.364029800	114.372591500	51.2			
T	22.364839200	114.373171600	57.0			
T	22.365327600	114.373717200	58.4			
T	22.365433900	114.373893700	61.0			
T	22.365422100	114.374098700	64.8			
T	22.365457900	114.374098800	65.8			
T	22.365491800	114.374111200	67.0			
T	22.365520300	114.374134600	68.3			
T	22.365540500	114.374166500	69.6			
T	22.365550400	114.374203700	70.8			
T	22.365643600	114.374068700	70.5			
T	22.365778400	114.373831600	68.3			
T	22.365954900	114.373648800	67.2			
T	22.366063600	114.373584700	67.4			
T	22.366442000	114.373623300	68.3			
T	22.366576900	114.373682400	68.2			
T	22.366950300	114.374093000	81.0			
T	22.367156500	114.374239600	82.6			
T	22.367386200	114.374347900	83.5			
T	22.368106700	114.374555200	91.6			
T	22.368297500	114.374633000	95.4			
T	22.368438900	114.374690600	96.0			
T	22.368499300	114.374681700	95.2			
T	22.368603300	114.374653500	94.3			
T	22.368849500	114.374653500	98.7			
T	22.368976500	114.374684000	100.3			
T	22.369197700	114.374685500	103.6			
T	22.369549700	114.374767900	99.1			
T	22.369851800	114.374815100	92.6			
T	22.370180400	114.374728500	93.3			
T	22.370448300	114.374739200	86.4			
T	22.370629900	114.374609900	93.0			
T	22.370653100	114.374456700	103.3			
T	22.370769800	114.374390000	102.5			
T	22.370883600	114.374246200	101.4			
T	22.371022500	114.373918900	101.1			
T	22.371055400	114.373815000	102.6			
T	22.371085400	114.373720400	104.3			
T	22.371176900	114.373634500	102.7			
T	22.371186000	114.373473100	109.5			
T	22.371216400	114.373458300	108.7			
T	22.371344500	114.373460200	101.9			
T	22.371419400	114.373427900	99.9			
T	22.371459100	114.373437500	97.8			
T	22.371550400	114.373413400	94.8			
T	22.371609300	114.373373200	93.6			
T	22.371687400	114.373368800	90.3			
T	22.371729800	114.373304300	90.8			
T	22.371805500	114.373266400	89.3			
T	22.371863900	114.373256800	87.6			
T	22.371882800	114.373226900	87.8			
T	22.371896500	114.373193100	88.2			
T	22.371922600	114.373164000	88.0			
T	22.371934700	114.373132900	88.4			
T	22.371997500	114.373195600	84.8			
T	22.372029000	114.373263300	82.0			
T	22.372170800	114.373354200	74.4			
T	22.372285400	114.373480400	68.7			
T	22.372437500	114.373735000	58.0			
T	22.372567300	114.373931700	49.0			
T	22.372688100	114.374029700	42.9			
T	22.372754400	114.374144300	37.4			
T	22.372786100	114.374126800	37.1			
T	22.372826900	114.374095300	37.0			
T	22.372910600	114.374060800	36.2			
T	22.373030100	114.374030200	34.5			
T	22.373264800	114.374152900	24.2			
T	22.373391200	114.374161500	21.9			
T	22.373684300	114.374157800	20.2			
T	22.373933900	114.374124500	20.8			
T	22.374134700	114.374137600	19.3			
T	22.374147300	114.374301300	13.2			
T	22.374053800	114.374494600	7.7			
T	22.373981200	114.374619700	6.1			
T	22.373935600	114.374727900	4.9			
T	22.373910200	114.374824900	5.6			
T	22.373903500	114.374926300	6.4			
T	22.373910600	114.375014100	6.8			
T	22.373937500	114.375172400	6.2			
T	22.374038200	114.375459500	5.4			
T	22.374117000	114.375607300	5.6			
T	22.374235900	114.375752000	6.0			
T	22.374444600	114.375886400	5.4			
T	22.374652200	114.375952200	3.5			
T	22.374776900	114.375952300	3.1			
T	22.375202600	114.375858100	3.9			
T	22.375262000	114.375845600	4.0			
T	22.375322400	114.375852300	4.1			
T	22.375882600	114.376048000	5.8			
T	22.376140600	114.376412800	6.2			
T	22.376656500	114.376438100	8.5			
T	22.376917400	114.376502300	12.8			
T	22.377430300	114.376348400	17.8			
T	22.377510200	114.376342600	18.5			
T	22.377727900	114.376326900	19.5			
T	22.377760800	114.376450600	20.6			
T	22.377824000	114.376595700	22.4			
T	22.377946200	114.376734600	25.1			
T	22.377932900	114.376907800	28.8			
T	22.377895000	114.377142700	34.4			
T	22.377994200	114.377215900	36.6			
T	22.378119600	114.377379800	41.4			
T	22.378106400	114.377404900	42.0			
T	22.378103300	114.377480200	44.1			
T	22.378148400	114.377567600	46.6			
T	22.378223300	114.377572700	47.9			
T	22.378251500	114.377727800	51.5			
T	22.378451900	114.377978800	61.2			
T	22.378663800	114.378120300	68.3			
T	22.378822500	114.378150200	70.5			
T	22.378684800	114.378310000	74.1			
T	22.378751300	114.378455800	79.3			
T	22.378847700	114.378479000	81.9			
T	22.378924900	114.378659400	90.3			
T	22.379014500	114.378779600	97.1			
T	22.378937500	114.379006400	101.3			
T	22.379078100	114.379182700	112.0			
T	22.378991900	114.379302100	111.2			
T	22.379005000	114.379417700	113.6			
T	22.378975800	114.379516800	115.2			
T	22.378990200	114.379547200	116.1			
T	22.379024900	114.379495300	115.5			
T	22.379076100	114.379586900	118.3			
T	22.379053500	114.379659400	119.5			
T	22.379053300	114.379753500	121.4			
T	22.379076400	114.379815500	122.9			
T	22.379072100	114.379899500	124.6			
T	22.379037500	114.379953300	125.5			
T	22.379315300	114.379846000	125.7			
